id,name,blurb,goal,pledged,outcome,backers_count,country,currency,launched_at,deadline,staff_pick,spotlight,category
156,Meza-Rogers,Streamlined encompassing encryption,36400,26914,canceled,379,AU,AUD,1570251600,1572325200,FALSE,FALSE,music/rock
157,Curtis-Curtis,User-friendly reciprocal initiative,4200,2212,failed,30,AU,AUD,1388383200,1389420000,FALSE,FALSE,photography/photography books
158,Carlson Inc,Ergonomic fresh-thinking installation,2100,4640,successful,41,US,USD,1449554400,1449640800,FALSE,FALSE,music/rock
159,"Clarke, Anderson and Lee",Robust explicit hardware,191200,191222,successful,1821,US,USD,1553662800,1555218000,FALSE,TRUE,theater/plays
160,Evans Group,Stand-alone actuating support,8000,12985,successful,164,US,USD,1556341200,1557723600,FALSE,FALSE,technology/wearables
161,Bruce Group,Cross-platform methodical process improvement,5500,4300,failed,75,US,USD,1442984400,1443502800,FALSE,TRUE,technology/web
162,"Keith, Alvarez and Potter",Extended bottom-line open architecture,6100,9134,successful,157,CH,CHF,1544248800,1546840800,FALSE,FALSE,music/rock
163,Burton-Watkins,Extended reciprocal circuit,3500,8864,successful,246,US,USD,1508475600,1512712800,FALSE,TRUE,photography/photography books
164,Lopez and Sons,Polarized human-resource protocol,150500,150755,successful,1396,US,USD,1507438800,1507525200,FALSE,FALSE,theater/plays
165,Cordova Ltd,Synergized radical product,90400,110279,successful,2506,US,USD,1501563600,1504328400,FALSE,FALSE,technology/web
166,Brown-Vang,Robust heuristic artificial intelligence,9800,13439,successful,244,US,USD,1292997600,1293343200,FALSE,FALSE,photography/photography books
167,Cruz-Ward,Robust content-based emulation,2600,10804,successful,146,AU,AUD,1370840400,1371704400,FALSE,FALSE,theater/plays
168,Hernandez Group,Ergonomic uniform open system,128100,40107,failed,955,DK,DKK,1550815200,1552798800,FALSE,TRUE,music/indie rock
169,"Tran, Steele and Wilson",Profit-focused modular product,23300,98811,successful,1267,US,USD,1339909200,1342328400,FALSE,TRUE,film & video/shorts
170,"Summers, Gallegos and Stein",Mandatory mobile product,188100,5528,failed,67,US,USD,1501736400,1502341200,FALSE,FALSE,music/indie rock
171,Blair Group,Public-key 3rdgeneration budgetary management,4900,521,failed,5,US,USD,1395291600,1397192400,FALSE,FALSE,publishing/translations
172,Nixon Inc,Centralized national firmware,800,663,failed,26,US,USD,1405746000,1407042000,FALSE,TRUE,film & video/documentary
173,White LLC,Cross-group 4thgeneration middleware,96700,157635,successful,1561,US,USD,1368853200,1369371600,FALSE,FALSE,theater/plays
174,"Santos, Black and Donovan",Pre-emptive scalable access,600,5368,successful,48,US,USD,1444021200,1444107600,FALSE,TRUE,technology/wearables
175,"Jones, Contreras and Burnett",Sharable intangible migration,181200,47459,failed,1130,US,USD,1472619600,1474261200,FALSE,FALSE,theater/plays
176,Stone-Orozco,Proactive scalable Graphical User Interface,115000,86060,failed,782,US,USD,1472878800,1473656400,FALSE,FALSE,theater/plays
177,"Lee, Gibson and Morgan",Digitized solution-oriented product,38800,161593,successful,2739,US,USD,1289800800,1291960800,FALSE,FALSE,theater/plays
178,Alexander-Williams,Triple-buffered cohesive structure,7200,6927,failed,210,US,USD,1505970000,1506747600,FALSE,FALSE,food/food trucks
179,Marks Ltd,Realigned human-resource orchestration,44500,159185,successful,3537,CA,CAD,1363496400,1363582800,FALSE,TRUE,theater/plays
180,"Olsen, Edwards and Reid",Optional clear-thinking software,56000,172736,successful,2107,AU,AUD,1269234000,1269666000,FALSE,FALSE,technology/wearables
181,"Daniels, Rose and Tyler",Centralized global approach,8600,5315,failed,136,US,USD,1507093200,1508648400,FALSE,FALSE,technology/web
182,Adams Group,Reverse-engineered bandwidth-monitored contingency,27100,195750,successful,3318,DK,DKK,1560574800,1561957200,FALSE,FALSE,theater/plays
183,"Rogers, Huerta and Medina",Pre-emptive bandwidth-monitored instruction set,5100,3525,failed,86,CA,CAD,1284008400,1285131600,FALSE,FALSE,music/rock
184,"Howard, Carter and Griffith",Adaptive asynchronous emulation,3600,10550,successful,340,US,USD,1556859600,1556946000,FALSE,FALSE,theater/plays
185,Bailey PLC,Innovative actuating conglomeration,1000,718,failed,19,US,USD,1526187600,1527138000,FALSE,FALSE,film & video/television
186,Parker Group,Grass-roots foreground policy,88800,28358,failed,886,US,USD,1400821200,1402117200,FALSE,FALSE,theater/plays
187,Fox Group,Horizontal transitional paradigm,60200,138384,successful,1442,CA,CAD,1361599200,1364014800,FALSE,TRUE,film & video/shorts
188,"Walker, Jones and Rodriguez",Networked didactic info-mediaries,8200,2625,failed,35,IT,EUR,1417500000,1417586400,FALSE,FALSE,theater/plays
189,Anthony-Shaw,Switchable contextually-based access,191300,45004,canceled,441,US,USD,1457071200,1457071200,FALSE,FALSE,theater/plays
190,Cook LLC,Up-sized dynamic throughput,3700,2538,failed,24,US,USD,1370322000,1370408400,FALSE,TRUE,theater/plays
191,Sutton PLC,Mandatory reciprocal superstructure,8400,3188,failed,86,IT,EUR,1552366800,1552626000,FALSE,FALSE,theater/plays
192,"Long, Morgan and Mitchell",Upgradable 4thgeneration productivity,42600,8517,failed,243,US,USD,1403845200,1404190800,FALSE,FALSE,music/rock
193,"Calhoun, Rogers and Long",Progressive discrete hub,6600,3012,failed,65,US,USD,1523163600,1523509200,TRUE,FALSE,music/indie rock
194,Sandoval Group,Assimilated multi-tasking archive,7100,8716,successful,126,US,USD,1442206800,1443589200,FALSE,FALSE,music/metal
195,Smith and Sons,Upgradable high-level solution,15800,57157,successful,524,US,USD,1532840400,1533445200,FALSE,FALSE,music/electric music
196,King Inc,Organic bandwidth-monitored frame,8200,5178,failed,100,DK,DKK,1472878800,1474520400,FALSE,FALSE,technology/wearables
197,Perry and Sons,Business-focused logistical framework,54700,163118,successful,1989,US,USD,1498194000,1499403600,FALSE,FALSE,film & video/drama
198,Palmer Inc,Universal multi-state capability,63200,6041,failed,168,US,USD,1281070800,1283576400,FALSE,FALSE,music/electric music
199,"Hull, Baker and Martinez",Digitized reciprocal infrastructure,1800,968,failed,13,US,USD,1436245200,1436590800,FALSE,FALSE,music/rock
200,"Becker, Rice and White",Reduced dedicated capability,100,2,failed,1,CA,CAD,1269493200,1270443600,FALSE,FALSE,theater/plays
201,"Osborne, Perkins and Knox",Cross-platform bi-directional workforce,2100,14305,successful,157,US,USD,1406264400,1407819600,FALSE,FALSE,technology/web
